prefix,n_members,total_freq,representative,members,status
aitb,9,5867,aitbr,aitbr:5573 | aitbrii:54 | aitbri:49 | aitbrvii:40 | aitbriii:37 | aitbrv:30 | aitbrviii:29 | aitbrvi:29 | aitbriv:26,unreviewed
sank,7,5851,sankhsr,sankhsr:3210 | sankhbr:1166 | sankhgrhy:977 | sankhgr:320 | sank:110 | sankara:43 | sankhgri:25,unreviewed
hala,2,5245,halay,halay:5138 | hala:107,unreviewed
kaus,3,4911,kaus,kaus:4321 | kausup:510 | kausbr:80,unreviewed
wils,6,4786,wils,wils:2015 | wilson:1599 | wilsonselworks:796 | wilsonselworksi:171 | wilsonsamkhyaks:131 | wilsonselworksii:74,unreviewed
dasa,6,4696,dasak,dasak:3899 | dasar:616 | dasariv:59 | dasarii:57 | dasari:35 | dasariii:30,unreviewed
apas,4,4663,apastsr,apastsr:2157 | apast:1887 | apastgrhy:594 | apastamba:25,unreviewed
mait,7,4457,maitrs,maitrs:3429 | maitryup:576 | maitrup:257 | maitrsi:71 | maitrsii:58 | maitrsiii:46 | maitr:20,unreviewed
bhar,8,4351,bhartr,bhartr:3068 | bhar:773 | bharata:166 | bharnatyas:162 | bhartriii:58 | bhartrsuppl:51 | bhartri:42 | bhartrii:31,unreviewed
dhat,30,4185,dhatup,dhatup:2688 | dhatupxxxii:119 | dhatupxxviii:108 | dhatupxxxiii:92 | dhatupxxvi:82 | dhatupxvii:82 | dhatupxxxv:82 | dhatupix:80 | dhatupxv:78 | dhatupxxii:60 | dhatupxix:53 | dhatupvii:53 | dhatupxxiv:49 | dhatupv:49 | dhatupxxxi:45 | dhatupxvi:41 | dhatupiv:39 | dhatupxi:36 | dhatupxxi:36 | dhatupxiv:35 | dhatupii:35 | dhatupx:31 | dhatupxxiii:29 | dhatupviii:28 | dhatupiii:27 | dhatupxiii:27 | dhatupvi:26 | dhatupxx:25 | dhatupxxxiv:25 | dhatupxxvii:25,unreviewed
pani,5,4148,paniv,paniv:1617 | paniii:1154 | pani:703 | panii:649 | panini:25,unreviewed
vikr,5,4085,vikr,vikr:3479 | vikramankac:461 | vikram:67 | vikrch:45 | vikriv:33,unreviewed
prab,3,4058,prab,prab:3331 | prabandh:691 | prabii:36,unreviewed
panv,4,3740,panvi,panvi:1265 | panv:1191 | panvii:675 | panviii:609,unreviewed
bhat,3,3735,bhatt,bhatt:3676 | bhattotp:35 | bhattx:24,unreviewed
maha,11,3704,mahavy,mahavy:2601 | mahavirac:542 | mahabh:242 | mahabhk:52 | mahasamajwaldschmidtklskttexte:50 | mahan:48 | mahanarup:46 | mahabhlithausg:38 | mahav:35 | mahadeva:29 | mahadevazusamkhyas:21,unreviewed
sarv,5,3650,sarvadarsanas,sarvadarsanas:2273 | sarvad:1291 | sarvas:43 | sarvadxv:22 | sarvadiii:21,unreviewed
samk,10,3624,samk,samk:1794 | samkhyak:771 | samkzubadar:416 | samkhyas:245 | samksiptas:215 | samkhyapr:83 | samkzubalar:29 | samkar:26 | samkara:24 | samkzubrharups:21,unreviewed
jata,2,3579,jatakam,jatakam:2550 | jatadh:1029,unreviewed
mala,7,3499,malav,malav:1679 | malatim:1263 | malat:378 | malatimedbomb:108 | malavi:25 | malavv:23 | malamasat:23,unreviewed
varb,3,3173,varbrs,varbrs:2960 | varbr:168 | varbrsxiv:45,unreviewed
laty,3,3145,laty,laty:3100 | latyi:24 | latyviii:21,unreviewed
mrcc,3,3083,mrcch,mrcch:3030 | mrcchi:31 | mrcchiii:22,unreviewed
kuma,3,2901,kumaras,kumaras:2826 | kumarila:42 | kumarasvzupratapar:33,unreviewed
cara,2,2790,caraka,caraka:2743 | caran:47,unreviewed
eben,2,2707,ebend,ebend:2667 | ebendno:40,unreviewed
mbhi,5,2566,mbhiii,mbhiii:938 | mbhi:921 | mbhii:351 | mbhiv:194 | mbhix:162,unreviewed
