dict,L,k1,root_signal,dhatupatha_source,gana,pada,transitivity,causative,set,anit,vet,anubandhas,gloss_snippet
krm,2017,hfzu,both,dhatupatha,bhvadi,parasmaipada,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-709. <s>aka</s>. <s>sew</s>. <s>para</s>.)
krm,2018,heWa,annotation,(annotation-only),bhvadi,parasmaipada,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-266. <s>aka</s>. <s>sew</s>. <s>Atma</s>.)
krm,2019,heqa,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-778. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,2020,heqf,annotation,(annotation-only),bhvadi,,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-284. <s>saka</s>. <s>sew</s>. <s>Atma</s>.)
krm,2021,hezf,both,dhatupatha,bhvadi,,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-621. <s>aka</s>. <s>sew</s>. <s>Atma</s>.)
krm,2022,hoqf,annotation,(annotation-only),bhvadi,,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-285. <s>saka</s>. <s>sew</s>. <s>Atma</s>.)
krm,2023,hoqf,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-354. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,2024,hnuN,annotation,(annotation-only),adadi,,sakarmaka,0,0,1,0,,(II<s>-adAdiH</s>-1082. <s>saka</s>. <s>aniw</s>. <s>Atma</s
krm,2025,hmala,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-806. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,2026,hrage,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-787. <s>saka</s>. <s>sew</s>. <s>para</s>.)
