dict,view,rule,units,segments,descents_raw,descent_rate_raw,descents,descent_rate,displaced,displaced_rate
mw,main,M-nasal_m/Hi-sib/Hf-drop/G-keep,32683,1,1113,0.034055,1113,0.034055,1746,0.053422
mw,main,M-nasal_m/Hi-sib/Hf-drop/G-degem,32683,1,1114,0.034086,1114,0.034086,1747,0.053453
mw,main,M-nasal_m/Hi-s/Hf-slot/G-keep,32683,1,1128,0.034514,1128,0.034514,1771,0.054187
mw,main,M-nasal_m/Hi-s/Hf-slot/G-degem,32683,1,1129,0.034545,1129,0.034545,1772,0.054218
mw,main,M-nasal_m/Hi-s/Hf-s/G-keep,32683,1,1130,0.034576,1130,0.034576,1776,0.05434
mw,main,M-nasal_m/Hi-s/Hf-s/G-degem,32683,1,1131,0.034606,1131,0.034606,1777,0.054371
mw,main,M-nasal_m/Hi-s/Hf-drop/G-keep,32683,1,1128,0.034514,1128,0.034514,1771,0.054187
mw,main,M-nasal_m/Hi-s/Hf-drop/G-degem,32683,1,1129,0.034545,1129,0.034545,1772,0.054218
mw,main,M-m/Hi-pos/Hf-slot/G-keep,32683,1,1220,0.037329,1220,0.037329,2193,0.067099
mw,main,M-m/Hi-pos/Hf-slot/G-degem,32683,1,1221,0.03736,1221,0.03736,2194,0.06713
mw,main,M-m/Hi-pos/Hf-s/G-keep,32683,1,1224,0.037452,1224,0.037452,2198,0.067252
mw,main,M-m/Hi-pos/Hf-s/G-degem,32683,1,1225,0.037482,1225,0.037482,2199,0.067283
mw,main,M-m/Hi-pos/Hf-drop/G-keep,32683,1,1220,0.037329,1220,0.037329,2193,0.067099
mw,main,M-m/Hi-pos/Hf-drop/G-degem,32683,1,1221,0.03736,1221,0.03736,2194,0.06713
mw,main,M-m/Hi-sib/Hf-slot/G-keep,32683,1,1234,0.037758,1234,0.037758,2241,0.068568
mw,main,M-m/Hi-sib/Hf-slot/G-degem,32683,1,1235,0.037788,1235,0.037788,2242,0.068598
mw,main,M-m/Hi-sib/Hf-s/G-keep,32683,1,1238,0.03788,1238,0.03788,2246,0.068721
mw,main,M-m/Hi-sib/Hf-s/G-degem,32683,1,1239,0.037911,1239,0.037911,2247,0.068751
