siglum	count	ctx1	ctx2	ctx3
BhāṭṭaDī.	6	BhāṭṭaDī. iv. 117. 6 ( x. 8. 11);	i. 580. 7 ( i. 4. 29); BhāṭṭaDī. iii.	BhāṭṭaDī. ii. 7. 12 ( iii. 5. 6)
JābālaU.	6	JābālaU. 5; ParaHaṃsPaU. 483. 12;	JābālaU. 4;	HaṃsPaU. 483. 12; YājñaU. 601. 26 (2); JābālaU. 5; BālamBha.
AnnaA.	6	AnnaA. 9; name of one of the	SarvaVeSāSaṃ. 130; ViveCū. 35; AnnaA. 9;	AnnaA. 9.
Dv.	6	¦ (agnīndr-áu) (du.) [Dv. Cpd. accent: VājaPrāti.	¦ (agnī́-parjányau) [du. Dv. Cpd. P. vi. 3. 27;	¦ (agnī́-váruṇau) [du., Dv. Cpd. P. vi. 3. 27; JaineVyā.
Suparṇādhyāya.	6	Suparṇādhyāya. 28. 1;	Suparṇādhyāya. 13. 3;	Suparṇādhyāya. 30. 7;
Viṃśa.	6	knowledge, nescience Viṃśa. 15;	Viṃśa. 12; SarvaSiSaṃ. 4 (1). 13; {@iii@} very litt	Viṃśa. 13;
ViraBhā.	6	ViraBhā. 1. 89;	Acyutarā. 5. 30; ViraBhā. 1. 1;	BhojaPra. 74. 15; SiṃhāDvā. 38. 18; ViraBhā. 2. 29;
SaraKaṇthā.	6	to form ) SaraKaṇthā.(Gr.) ii. 2. 70.	Vikramo. 3. 19; SaraKaṇthā. 681. 4;	SaraKaṇthā. 48. 12.
PadaPā.	6	¦ (aghāy-ú) [cf. P. vii. 4. 37; PadaPā. ; TaiPrāti.	22 / PadaPā. and Prāti. take it as a case of final length	¦ (ádhipat-ya) sovereignty, lordship [PadaPā. for ā́dhi-
ĀnaMandā.	6	ĀnaMandā. 75; Nārāy. x. 51. 3;	ĀnaMandā. 48.	ĀnaMandā. 35;
TSS.	6	HarṣaC. (TSS. Ed.) 307. 1 =	Sarakaṇṭhā.(Gr.) ii. 1. 43 (TSS. Ed.)	(v. l. TSS. Ed.) SaraKaṇṭhā.(Gr.) ii. 2. 124.
JyotiṣaNi.	6	JñātāDhaṬ. 125B. 3; GaṇiNā. 37; JyotiṣaNi.(Rāśi.) 6; {@5A@} name	JyotiṣaNi. RāśiNi. 1; {@5A@} course of the planet Venus	Śe. iii. 3. 81; {@11@} , JyotiṣaNi.(Rāśi.) 12; AbhidhāCin. 1343;
Ve.	6	Ve. 392.	Ve. 120.	Ve. 275; ĀnandRa. 1. 14; [Kośas give synonyms
BrahmaU.	6	BrahmaU. 167. 5;	BrahmaU.	BrahmaU. 168. 19; VaṭuU. 313. 12; SadānaU. 378. 8;
SrutaPra.	6	SrutaPra. iA. 159. 15	its head (i. e. in front) SrutaPra. iA. 12. 13	18. 40); SrutaPra. iA. 39.
Mahābhā.	6	898*(1); HariVaṃ. 2. 51; Mahābhā.	much Mahābhā. xii. 88. 11.	Mahābhā. xii. 161. 24; {@4B@} priceless (i. e. of a
JānaCaCā.	6	JānaCaCā. 63.	JānaCaCā. 80.	JānaCaCā. 21.
HaṃsU.	6	HaṃsU. 2. 0 ( 13)	MahāU. 4. 118; HaṃsU. 1. 3;	HaṃsU. 2. (147. 11); Tātpa-
Yo.	6	Yo. 69. 5; BṛNāraP. 2. 47;	Yo. 70. 14; AnekāSaṃ. 4. 286;	Yo. 23. 44; Hastyāyur. 110. 5 (1. 15);
Hitop.	6	Hitop. 2. 50.	PañcT. 1. 2 (8. 9); Hitop. 2. 8 (3);	Hitop. 1. 43;
IṣṭāSi.	6	IṣṭāSi. 344. 13.	science etc. IṣṭāSi. 61. 5;	IṣṭāSi. 295. 17;
SarvāSi.	6	SarvāSi. 9. 9 (427. 8)	or concealed SarvāSi. 3. 24 (338.	SarvāSi. 1. 20 (123. 4)
Bi.	6	Bi. 46. 2; 48. 1; SiddhāLeSaṃ. 88. 4; SiddhāTa.	Bi. 30. 2; NyāyRa. 56. 12 ( 2. 37);	Bi. 109. 5;
Śa.	6	Śa. 504.	Śa. 16.	Śa. 59; {@ii@} punishment KalpaK. 240. 52.
NṛttaSaṃ.	6	NṛttaSaṃ. 286;	NṛttaSaṃ. 277.	NṛttaSaṃ. 174.
JivanVi.	6	TarkBhā.(Ke.) 60. 2; JivanVi. 59. 2; NyāySu.(Ja.) 173B. 5 ( i. 3. 3);	JivanVi. 97. 18;	JivanVi. 58. 14.
ṢaṭCakraNi.	6	ṢaṭCakraNi. 12.	ṢaṭCakraNi. 43; SūktiSu. 115 = PadyaVe. 70;	ṢaṭCakraNi. 47;
ViSaṃ.	6	ViSaṃ. 6. 21;	ViSaṃ. 13. 1.	ViSaṃ. 2. 3; PadmPrā. 21. 18;
Stu.	6	Stu. 76.	Ind. Stu. 15. 222, FN. 2.	), Ind. Stu. 15. 222. FN. 2; 15. 444 (column 2)
UBr.	6	UBr. 1. 16; Rāmā. vi. 3153*(3);	UBr. 2. 2; LaṚkTanSaṃ. 141; {@ii@} theft	UBr. iii. 4. 12.
SṛṅgāMañ.	6	( i. 1. 4); SṛṅgāMañ.(A.) 10. 3;	SṛṅgāMañ.(A.) 14. 9.	SṛṅgāMañ.(A.) 13. 24.
Alaṅ.	6	Alaṅ. 4. 24 = AbhisaAlaṅĀ. 357. 1;	Alaṅ. 3. 16;	Alaṅ. 1. 54.
MadhyāViSūṬ.	6	MadhyāViSūṬ. 45. 15;	MadhyāViSūṬ. 19. 17;	MadhyāViSūṬ. 41. 8
RājT.	6	RājT.(Ka.) 4. 2244;	RājT.(Ka.) 7. 510; {@1Bii@} not fit to be seen,	RājT.(Ka.) 1. 130.
ŚivākaMaDī.	6	AṇuBh. 87. 19 ( i. 3. 25); ŚivākaMaDī. i.	DaKau. 103. 17 = ŚivākaMaDī. i. 487. 15 ( i. 3. 39);	ŚivākaMaDī. ii. 145. 30
PadyaCū.	6	PadyaCū. 5. 41.	PadyaCū. 1. 58 (comm.	PadyaCū. 6. 22 (comm.
SadānaU.	6	ŚivSaṃU. 2 18; SadānaU. 378. 16;	SadānaU. 378. 14;	BrahmaU. 168. 19; VaṭuU. 313. 12; SadānaU. 378. 8;
SītāU.	6	SītāU. 6;	come into existence SītāU. 6;	the mind AhirbuS. 12. 14; SītāU. 6.
KātanPari.	6	103. 19 ( vi. 1. 162); KātanPari. 4; JainePari. 3 (23) = CāndraPari.	KātanPari. 12;	ṣāpāṭha 12; KātanPari. 33; JainePari. 39; CāndraPari. 13; Śākaṭā-
SūryTāU.	6	SūryTāU.	U. 2. 16; AŚiraU. 5. 1; 5. 8; MahāNāU. 2. 1; SūryTāU.	( 1. 25); SūryTāU. 55. 20 (1);
DakṣiMūA.	6	DakṣiMūA. 9;	DakṣiMūA. 9; {@1Bix@} name of a	DakṣiMūA. 7;
SarvaSāU.	6	MahāU. 4 (128); SarvaSāU. 1;	SarvaSāU. 2; {@5@} investigating, searching, tracing	SarvaSāU. 3 (254. 4)
MahāNāU.	6	1. 6; ŚvetāU. 2. 16; AŚiraU. 5. 1; 5. 8; MahāNāU. 2. 1; SūryTāU.	2 (811. 4) (Sāy. ); MahāNāU. 9. 11	); Baudh.Ds. ii. 7. 9; MahāNāU. 16. 2; {@2B@} (one) who destroys,
KāvyālaṅSūVṛ.	6	KāvyālaṅSūVṛ. iv. 3. 17;	KāvyālaṅSūVṛ.	KāvyālaṅSūVṛ. 5. 2 ( i. 2. 12);
Skt.	5	used in P. i. 3. 2 as an probably because Skt. has no distinctive	GītGo. xii. 24. 17 (Skt. Academy Ed. Sañjivanī	¦ (adri-ghaṭṭa) [Skt. from NIA mountain pass
Pr.	5	¦ (aicadeva) Pr. name of a Brahmin, a donee	¦ (aiculā) Pr. name of a Brahmin	¦ (aibuka) Pr. name of an Arabic king
DaśāvC.	5	DaśāvC. 8. 16;	DaśāvC. 8. 538.	DaśāvC.
TantraSa.	5	TantraSa. 2. 95 = ŚilpaRa. ii. 9. 8.	PārśvC. 6. 758; TantraSa. 10. 104;	{@4@} base of the pilaster TantraSa.
VakroJi.	5	Śāk. 3. 38 = VakroJi.	(Dha.) 11. 9; VakroJi. 106. 5;	VakroJi. 5. 12;
Comm.	5	Chandonu. 4. 25 (Comm.	Comm. TrikaŚe. iii. 3. 110;	Comm. AnekāSaṃ. 2. 108; {@1C@} scrotum
RaSi.	5	RaSi. i. 2. 21; TristhaSe. 20. 7;	RaSi. iv. 9. 4.	RaSi. iii. 4. 24.
KhaṇḍanKha.	5	KhaṇḍanKha. 777. 15;	KhaṇḍanKha. 718. 16;	KhaṇḍanKha. 698. 3;
Bālakrī.	5	Bālakrī. i. 91. 12 ( 1. 96); {@B@} non-performance o	YājñaSm. 2. 36; Bālakrī. i. 279. 6	twice-born Bālakrī. i. 52. 24 ( 1. 38)
SābaBh.	5	SābaBh. 1284. 2 ( iv. 4. 34); 1481. 5 (	SābaBh. 1545. 21 ( vii. 2. 13);	NidāSū. 95. 8 (5. 13); SābaBh. 642. 12
PītāU.	5	PītāU. ii. 422. 8.	PītāU. 422. 7;	PītāU. 421. 16.
ĀgniVeGS.	5	KauśiSū. 86. 14 ĀgniVeGS. ii. 3. 3 (56. 22);	Vi. 941. 7; ĀgniVeGS. i. 6. 1 (64. 11); iii. 12. 1	4. 10; VaikhāŚS. 7. 6; ĀgniVeGS. i. 6. 3 (37. 21)
Alt.	5	¦ (á-kavāri) [DEBR. Alt. Gr. II. 2. p. 288.	¦ (a-kupya) [? PW., pw., and MW. ( ) Alt. Gr. II.	¦ (at-asá) [Alt. Gr. I. 10(átasa?); DEBRU. p. 236;
SṛṅgāTi.	5	SṛṅgāTi.(Rā.) 14 (1); {@E@} without a purpose	SṛṅgāTi.(Rā.) 19.	SṛṅgāTi.(Ru.) 2. 18 = SaduktiKa. 133. 28.
Śau.	5	Aprāti. 34; CaturA (Śau.) 1. 101; LaṚkTanSaṃ. 56; MahāBh. i. 15. 3	(Śau.) 3. 57.	(Śau.) 1. 94.
LaṚkTanSaṃ.	5	Aprāti. 34; CaturA (Śau.) 1. 101; LaṚkTanSaṃ. 56; MahāBh. i. 15. 3	LaṚkTanSaṃ. 57.	LaṚkTanSaṃ. 1; 78;
BṛAraUBhVā.	5	iv. 4. 10; iv. 4. 447; BṛAraUBhVā.	BṛAraUBhVā. iii. 8. 175;	BṛAraUBhVā.(Sambandha.) 568.
Subhaṣi.	5	SkandP. i(2). 1. 46 = SūktiRa. 37. 14; Subhaṣi. 3267;	ŚatTrayī. 24; SūktiMu. 8. 34; Subhaṣi. 464;	= SūktiRa. 153. 10 = Subhaṣi. 2507;
ŚāstrDīPra.	5	Kiraṇā. 120. 9; ŚāstrDīPra.	ŚāstrDīPra. 590. 9 ( i. 1. 6); {@B@} the state of being	ŚāstrDīPra. 63. 28 ( i. 1. 2)
ViṭaVṛ.	5	ViṭaVṛ. 22;	ViṭaVṛ. 1 = Subhāṣi. 10; NītiSā. 1. 54;	MahāBhā. v. 474*(1); ViṭaVṛ. 25.
GilMs.	5	GilMs. iii(2). 160. 9.	) GilMs. iii(2). 37. 1.	GilMs. iii(2). 3. 18;
BṛĀraUBhāVā.	5	BṛĀraUBhāVā. i. 4. 578.	BṛĀraUBhāVā. i. 4. 988;	BṛĀraUBhāVā. i. 4. 841 (comm.
AmaKoUd.	5	Vaija. 129. 74; AmaKoUd. ii. 9. 91;	acc. Āgrāyaṇa, from Nir. 1. 9; from , AmaKoUd.	550B. 3; ( AmaKoUd. 17. 14 ( i. 1. 53));
BhāgGī.	5	Rāmā. ii. 58. 38; BhāgGī. 18. 10;	BhāgGī. 2. 11 = VarāP. 187. 53; AgniP.	1. 29; BhāgGī. 14. 21; VijñāŚ. 88; BṛParāSm. 1. 61; 12. 175
PañcaDa.	5	PañcaDa. 8. 24;	PañcaDa. 6. 27;	PañcaDa. 7. 283 (comm. );
RāPa.	5	RāPa. 3. 46 (1); Ekāva. viii. 2. 39; TirthaKa. 31.	RāPa. 1. 6; SaṃgīRa. i. 102. 3 (1 (4). 7); EI. i	RāPa. 3. 58 (37)
Vaij.	5	AbhidhāRaMā. 3. 30; Vaij. 155. 12; 266. 15; TrikāŚe. 3. 328; AnekāSaṃ.	387; Vaij. 266. 15; AnekāSaṃ. 4. 237; VīśvaPra. 146. 25	(v. l. ) NāmaMāli. 514; Vaij. 117. 163.
Kāśī.	5	( ) bath Kāśī. i. 51. 15	Kāśī. i. 34. 14 ( 1. 74)	Kāśī. ii. 5. 16 ( 5 (1). 11)
Sāk.	5	Sāk. 5. 23. (1)	Sāk. 4. 17; Sara-	permitted or consented Sāk. 4. 12.
SVSaptaLa.	5	SVSaptaLa. 42; YogSū.	SVSaptaLa. 25;	SVSaptaLa. 121; {@B@} absence of apprehension or of cog
PadMāñ.	5	PadMāñ. KāśiVṛ. P. i. 4. 61.	PadMāñ. KāśiVṛ. i. 1. 14;	( iv. 1. 161); PadMāñ. KāśiVṛ. P. iv. 1. 161;
VedārthSaṃ.	5	VedāntSā.(Rā.) 147. 6 ( ii. 1. 13); VedārthSaṃ.	i. 58. 31; VedārthSaṃ. 138. 8;	VedārthSaṃ. 149. 13.
Nīl.	5	MahāBhā. i. 217. 19; (Dev. ; Nīl. ); MatsyaP.	MahāBhā. v. 75. 14 (Nīl.	17. 35 (Nīl. );
ŚāraBhuA.	5	ŚāraBhuA. 137. 3; BṛParāSm. 2. 14; PauṣkS. 41. 84;	ŚāraBhuA. 8.	ŚāraBhuA. 1; Tantrākhyā.
DhaṬ.	5	DhaṬ. 83B. 14; {@3@} an assignment of property for	DhaṬ. 40A. 14, cf. {@ @}.	DhaṬ. 66B. 8; Candrā. 5. 96;
ŚaṅkhāŚS.	5	ŚaṅkhāŚS. vii. 26. 4;	ŚaṅkhāŚS.	ŚaṅkhāŚS. i. 3. 12; i. 8. 10; ii. 3. 5; iii. 8. 8;
GaurīDa.	5	GaurīDa. 4.	12. 376; TattvSaṃ. 1840; GaurīDa. 7;	297. 1 ( 10. 39); ŚatŚlo. 38; GaurīDa. 8; ViṣṇuPādāSt. 9; ŚrīRāmaBhuSt.
TantraRā.	5	TantraRā. 17. 20; 34. 28.	TantraRā. 30. 90.	AmṛUda. 4. 80 (9); 5. 11 (13); ŚṛṅgāSar. 19; TantraRā. 9. 84;
BrU.	5	BrU. 3. 2; KauṣīBr. 7. 4 (30. 5); 7. 4 (30. 20);	BrU. 2. 8 (p. 50) (Ed. Cowell, 1861); SetuBa. 2	BrU. 1. 1; TaiĀ. ii. 19. 1 (275. 2);
VP.	5	NītiSā. 4. 7 (VP. Ed.)	(BI. Ed., VP. Ed.)	ṚtuSaṃ.(VP.
Nyāyamṛ.	5	Nyāyamṛ. 638A. 4.	Nyāyamṛ. 329B. 6;	Nyāyamṛ. 528A. 8;
RomāŚ.	5	RomāŚ. 85.	RomāŚ. 93.	RomāŚ. 10; {@1@} end, top
GopālaPūTāU.	5	GopālaPūTāU. 1. 4.	GopālaPūTāU. 1. 4.	GopālaPūTāU. 1. 5;
AśvaŚā.	5	1. 109; AśvaŚā. 8. 3;	AśvaŚā. 16. 13 etc.)	AśvaŚā. 29. 42; KośaKaTa. 1. 6035; {@1@} name of a
MudgU.	5	MudgU. 408. 27 (4); KāliU. 402. 18; GāyaRaU. 408. 2	MudgU. 409. 8 (4);	by heart MudgU.
Dramat.	5	PāraS. 12. 187; {@5@} (Dramat.) devoid of	{@2A@} resolve, decision of will {@B@} (Dramat.) expression of resolve or	(4); {@2B@} (Dramat.) expression of resolve or determination or s
AcyutA.	5	Agastya AcyutA. 5.	BhagaMāPū. 8; AcyutA. 4;	ṭhā. 127. 4; EI. xii. 13. 2; PāraS. 13. 182; AcyutA. 4;
Para.	5	(Para.) (95) 3606; ViśvaLoK. 310. 209; ŚabdaRa.(Su.	(Para.) (161)3763; AmaK. 1550; ParyāRaMā. 1448; Abh	(Va.) 16; (Ha.) 24. 2; (Para.) (28) 3444] {@i@} joined open palms (as a
DaṇḍVi.	5	DaṇḍVi. 295. 19; Hastyāyur. 389. 9 (3. 6)	DaṇḍVi. 40. 3.	on demerit DaṇḍVi. 19. 14.
AryāSaŚa.	5	AryāSaŚa. 13 = ŚārṅgPa. 466.	AryāSaŚa. 261; RasāSu. 74. 18 (1. 270);	Lakṣaṇā. 12. 1; AryāSaŚa.
ŚkandP.	5	AtriS. 254=ŚkandP. iv. 40. 102; ŚiśuVa. 10. 29;	(iv. 161. 35); ŚkandP. v(3). 39. 7.	ŚkandP. ii(9). 25. 68.
TājiNi.	5	TājiNi. i(1).	TājiNi. iii(1) (5). 107 (359); act of going astray	VasiS. 18. 14; TājiNi. iii. 5. 20
MayūMali.	5	MayūMali.	MayūMali. 234. 16 ( iii. 3. 2);	MayūMali. 415. 13 ( v. 1. 11); {@5@} contrary, opposi
MānaSo.	5	MānaSo. ii. 20. 1071; Māna-	MānaSo. ii. 3. 283.	MānaSo. iii. 1. 237;
KaṭhŚrU.	5	KaṭhRuU. 1=KaṭhŚrU. 2 (3);	KaṭhŚrU. 1;	KaṭhŚrU. 2. (2); KaṭhRuU. 1;
KauṣīU.	5	ŚāṅkhāĀ. 3. 3 (11. 23) = KauṣīU.	(22. 3)= KauṣīU. 3. 8; TaiĀ. vii. 7. 1	KauṣīU. 4. 9;
NitiSā.	5	NitiSā. 2. 27;	NitiSā. 4. 37; AgniP. 238. 22; GaṇeP. ii. 32. 6;	NitiSā. 20. 10;
BṛKathaŚloSaṃ.	5	BṛKathaŚloSaṃ. 17. 175;	Rāmā. vii. 6. 69; BṛKathaŚloSaṃ.	BṛKathaŚloSaṃ. 18. 461.
ŚrīkaC.	5	ŚrīkaC. 2. 22;	PraboCan. 2. 35; ŚrīkaC. 6. 73;	ŚrīkaC. 2. 28 (comm.
SaṃgīPā.	5	SaṃgīPā. 308.	SaṃgīPā. 3. 5;	SaṃgīPā. 505.
PārŚvC.	5	PārŚvC. 3. 71;	be uttered PārŚvC.	YogŚā. 1. 38; PārŚvC. 6. 543;
BṛkathāŚloSaṃ.	5	BṛkathāŚloSaṃ. 6. 22; 14. 35; 18. 539;	BṛkathāŚloSaṃ. 20. 310.	BṛkathāŚloSaṃ. 18. 599;
MantrMāSta.	5	6. 61; 9. 27; MantrMāSta. 2;	MantrMāSta. 7;	MantrMāSta. 250. 6; CaitaCa.
KalpK.	5	KalpK. 34. 130; NāmMā. 38; AnekāTi. 2. 20; RājNi. 2	1. 5813; KalpK. 93. 38; {@iii@} name of a king of Magadha co	6. 921; (v. l. ) KalpK.
NavSāC.	5	BālBhā. 1. 30; 1. 27; NavSāC.	( 5 (2). 46); SarvaVeSāSaṃ. 761; NavSāC. 13. 63;	NavSāC. 10. 27; improper action
SārṅgaPa.	5	DhūrtaSa. 87. 16; SārṅgaPa. 3478; UjjvaNīMa.	SārṅgaPa. 3861;	SārṅgaPa.
LaŚābdeŚe.	5	LaŚābdeŚe. i. 252. 4;	LaŚābdeŚe. i. 42. 10;	LaŚābdeŚe. i. 379. 90; i. 213. 7; {@ii@} (signifying) u
ŚaRa.	5	ŚaRa. 2. 444.	ŚaRa. 2. 2; MediK. 161. 59; DharK. 2368; NānārthaM	ŚaRa. 2. 21; {@3@} indigestion cf. {@ @}; {@4@} Su
GotaSt.	5	GotaSt. 18.	GotaSt. 10; Gurvā. 373; 4. 14;	BhaviP. 321B. 18 (ii(1). 4. 40); GotaSt. 10;
KanDhāSt.	5	KanDhāSt. 1.	KanDhāSt. 4;	KanDhāSt. 4;
PañcTa.	5	BṛSaṃ. 70. 16; Tantrākhyā. 116. 7; PañcTa.	Rā. 1. 54; PañcTa. 3. 76 (346. 6);	MatsyaP. 11. 59; PañcTa. 3. 77 (348. 2); PadmaPrā. 15. 23;
PadmaPrā.	5	PadmaPrā. 6. 5; 10. 20;	PadmaPrā. 6. 12.	MatsyaP. 11. 59; PañcTa. 3. 77 (348. 2); PadmaPrā. 15. 23;
Rañ.	5	Rañ. 40; {@ii@} continuous enjoyment, RasiRañ. 40	Rañ. 73.	Rañ. 39.
GaṅRa.	5	GaṅRa. 7. 426 (450);	3. 73; GaṇPā. 186. 19; GaṅRa. 3. 187 (229);	included in the GaṇPā. 80. 10; GaṅRa. 7. 436 (460);
MaVākyaU.	5	MaVākyaU. 585. 15;	488. 13 = DevīU. 22 = MaVākyaU. 586. 1; RudraJābāU. 569. 26 (3 );	MaVākyaU. 585. 12;
Lī.	5	Lī. 1. 39.	Lī. 11. 5; Vaija. 173. 2; DharK. 431; ŚabdaRa.(V	Lī. 8. 18;
Yā.	5	Yā. 1. 11;	(Yā.) 72. 20; characteristics of unrighteousnes	(Yā.) 72. 25; VedāntKa. 132. 6
SiSūMañ.	5	SiSūMañ. 1. 109.	SiSūMañ. 4. 22 (comm. ); AmaK.	SiSūMañ. 3. 8.
VārāP.	5	( i. 10. 2); UpadeSā. 213. 2; VārāP. 69. 2; BrahmP. 78. 19; PadmP. iv.	VārāP. 189. 3; ManvaVi. 1268. 22 ( 9. 319);	VārāP. 118. 13;
CaturveU.	5	66. 23; CaturveU. 21. 4; MahāU. 1; VāsuU. 406. 9;	AśiraU. 3. 1; CaturveU. 21. 17; VaṭuU. 315. 2; SaurP.	CaturveU. 21. 2;
AuśaSm.	5	AuśaSm. 1; SamarāSū. 5. 85; 10. 107;	AuśaSm. 6; (caus.) to restore to life, to revive	ceptor AuśaSm. 3.
GOS.	5	85. 22 (comm. GOS. Ed. p. 106 )	(v. l. (GOS.)) ViṣṇuDhaP. iii. 40. 18.	(v. l. GOS. Ed.) NyāyRaMā.
NyāySi.	5	Pra. ii. 224. 25 ( ii. 1. 12); NyāySi.	425. 2; iii. 194. 20; NyāySi. 208. 12; NyāySu.(Ja.) 21A. 6 ( i. 1. 1);	NyāySi. 197. 15; ŚaṅkaDigVi.(Mā.) 14. 10;
RāghPān.	5	i. 11. 6; VasiS. 36. 16; RāghPān.(Ka.) 10. 25;	warriors as guests of RāghPān.	RāghPān.(Dha.) 15. 20.
YamunāA.	5	YamunāA. 1. 6; VarāP. 155. 42; PañcT.	calamity YamunāA. 4.	ŚatŚlo. 64; YamunāA. 1. 5;
HaraṣaC.	5	HaraṣaC. 36. 9; 165. 4;	very difficult to discard HaraṣaC.	HaraṣaC. 320. 20; 169. 7;
IndSt.	5	iii. 1. 80; fourteenth night of Karmamāsa, IndSt. 10. 296	Caraṇavyūha in IndSt. III. 269.	537. 4 ( x. 4. 9); IndSt.
M.	5	(M.) 57B. 11 ( iii. 3. 47); PrakaVi. 381. 21;	/ Nom. sg. M. F. P. vii. 2. 107; Kātan. ii. 3. 32; SiddhaH	M. S. APTE Ed. 1907) Hitopa. 0. 4; {@B@} the
SaṃkarKāBh.	5	SaṃkarKāBh. 211. 3 ( iv. 3. 21);	SaṃkarKāBh. 21. 8 ( i. 2. 24);	SaṃkarKāBh.
NilaP.	5	NilaP. 771.	(v. l. ) NilaP. 929.	gods) NilaP. 620;
PārthaPa.	5	PārthaPa. 8.	PraboCan. 2. 11 (24. 17); PārthaPa.	PārthaPa. 51. 6; 18. 2; Pramā-
MantriU.	5	MantriU. 13.	MantriU. 4;	MantriU. 4;
CūliU.	5	Atharvaveda (v. l. ) CūliU. 14	CūliU. 11; MantriU. 11;	CūliU. 5.
Vṛtti.	5	MugdhaBo. 26. 80 (158. 17) (Vṛtti.	(Vṛtti. ); JaimiŚS. 7;	sound CāndraVyā. v. 4. 121 (Vṛtti.
ŚṛṅgāSa.	5	PadyaVe. 234; ŚṛṅgāSa. 88; MahāNā. 4. 9.	ŚārṅgaPa. 3052; ŚṛṅgāSa. 86 (5);	AdbhuDa. 7. 8 (8); ŚṛṅgāSa.
VastuAva.	5	VastuAva. i. 114. 2; {@B@} endurance, sufference, putt	VastuAva. ii. 493. 2; SaddhaPuṇ.	VastuAva. iii. 266. 1; LaṅkāSū.
UpaniSū.	5	UpaniSū. 7. 5;	UpaniSū. 6. 22; GautDS. iii. 1. 18 =	UpaniSū. 2. 20;
DevīU.	5	AkṣaMāU. 488. 12 = GaṇU. 571. 13 = DevīU. 22 = NārāyU. 5 = MaVākya-	488. 13 = DevīU. 22 = MaVākyaU. 586. 1; RudraJābāU. 569. 26 (	DevīU. 10; 17; MahāBh. i. 2. 20
NārāyU.	5	ṣaMāU. 488. 12 = GaṇU. 571. 13 = DevīU. 22 = NārāyU. 5 = MaVākya-	NārāyU. 3; BhasmJāU.	NārāyU. 4;
DattāU.	5	GāyaRaU. 408. 15; DattāU. 1;	ŚāṇḍU. 419. 24 (3. 2); DattāU. 2;	DattāU. 2.
CāṇaRāNīŚā.	5	CāṇaRāNīŚā. 8. 21; ŚiśuVa. 2. 29; SarvaVeSāSaṃ. 225;	CāṇaRāNīŚā. 7. 54; Subhāṣi. 2710;	CāṇaRāNīŚā. 6. 22;
NirU.	5	Nir. 13. 19 = 14. 6 (230. 17); NirU. 28. 16(20);	NirU. 29. 7 (2); (pass.) to become ripe	NirU. 29. 12 (21); Nir. 13. 29 =
DakṣiMūVaMāSt.	5	DakṣiMūVaMāSt. 22;	DakṣiMūVaMāSt. 6;	DakṣiMūVaMāSt. 6;
Tp.	5	74; before a vowel, accented initially in Tp., P. vi. 2. 2,	Tp. Cpd.) SiddhaHe. ii. 4. 96. (Vṛtti	the Tp. Cpd. formed with the word denoting the whole
ŚrīViṣṇuBhuSt.	5	ŚrīViṣṇuBhuSt. 13;	ŚrīViṣṇuBhuSt. 13; {@2Fi@} to remember (with	ŚrīViṣṇuBhuSt. 12;
Vyu.	5	Vyu. 29. 13; {@2@} absence of (deliberate) applic	Vyu. 30. 27.	Vyu. 281. 120; {@1B@} gist of duties
ViṣṇuSa.	5	MahāBhā. xiii. 135. 6 = ViṣṇuSa. 6; Mahā-	Bhā. xiii. 135. 18 = ViṣṇuSa. 18;	ViṣṇuSa. 86 (Śaṅ. );
Mo.	5	(Mo.) 32. 21;	(Mo.) 37. 25;	(Mo.) 3. 13;
JaiNyāMā.	5	207. 10; {@B@} false speech JaiNyāMā. 15	JaiNyāMā. 651. 5 ( xi. 3. 16)	JaiNyāMā. 98. 19 (
ŚilpRa.	5	ŚilpRa. ii. 18. 26;	ŚilpRa. ii. 24. 92.	ŚilpRa. ii. 24. 93; {@2@} the last digit, the number
EkāNā.	4	i. 6. 1; NānārthaMa. 11; NānārthRaMā. 25; EkāNā.(A.) 5; AnekāTi. 1. 5;	38; 39; NānārthRaMā. 25; 26; 52; 53; EkāNā.(vi.) 5; ViśvaPra. 185. 2;	ParaNā. 17; Tantrābhi. iii. 23. 9; EkāNā.
Say.	4	ṚV. x. 31. 3 (Say. );	KātyŚS. xvii. 4. 2 (Say. VājaS.(K.)	ṚV. v. 52. 6 (Say.
TattvVi.	4	SūBh.(Ma.) 59A. 1 ( iii. 3. 55); TattvVi.	AnuVyā. 1A. 2 (1. 1); TattvVi. 1A. 5;	AnuVyā. 4B. 11 ( 1. 1); 27A. 7 ( 2. 2); TattvVi. 1A. 5;
TarkaSaṃ.	4	TarkaSaṃ.(Ā.) 15. 10;	TarkaSaṃ.(Ā.) 37. 12; 51. 5;	TarkaSaṃ.(Ā.) 33. 17;
TaSā.	4	TaSā. 59. 4.	TaSā. 62. 1; VedāntSā.(Rā.) 409. 4 ( iv. 4. 16);	TaSā. 7. 2.
SvātmaNi.	4	SvātmaNi. 50.	SvātmaNi. 105; BālaKrī. ii. 63. 17 ( 3. 165 ? 176);	SvātmaNi. 48.
SātvaTa.	4	SātvaTa. 3. 25.	SātvaTa. 6. 143.	SātvaTa. 6. 149.
Bṛ.	4	Bṛ.	Bṛ. ix. 7. 11; ṢaḍviBr. iv(v). 3. 4;	Bṛ. ii. 5. 9; ĀśvaŚS. II. iii. 11. 13 (but
